first_name,last_name,party
J,Correa,Democratic
James,Hill,Republican
Jack,Bergman,Republican
Jackie,Speier,Democratic
Jackie,Walorski,Republican
Jacob,LaTurner,Republican
Jahana,Hayes,Democratic
Jaime,Beutler,Republican
Jaime,Herrera Beutler,Republican
Jake,Auchincloss,Democrat
Jamaal,Bowman,Democrat
James,Baird,Republican
James,Clyburn,Democratic
James,Comer,Republican
James,Cooper,Democratic
James,Himes,Democratic
James,Langevin,Democratic
James,McGovern,Democrat
James,Mcgovern,Democratic
Jamie,Raskin,Democratic
Janice,Schakowsky,Democratic
Jared,Golden,Democratic
Jared,Huffman,Democratic
Jason,Crow,Democratic
Jason,Smith,Republican
Jay,Obernolte,Republican
Jeff,Duncan,Republican
Jeff,Fortenberry,Republican
Jefferson,Drew,Democratic
Jefferson,Van Drew,Democrat
Jennifer,Wexton,Democratic
Jenniffer,Colon,Republican
Jerrold,Nadler,Democratic
Jerry,Carl,Republican
Jerry,McNerney,Democrat
Jerry,Mcnerney,Democratic
Jesus,Garcia,Democratic
James,Banks,Republican
Jim,Cooper,Democrat
James,Costa,Democratic
James,Hagedorn,Republican
Jim,Himes,Democrat
Jim,Jordan,Republican
Jim,Langevin,Democrat
Jimmy,Gomez,Democratic
Jimmy,Panetta,Democratic
Joaquin,Castro,Democratic
Jodey,Arrington,Republican
Jody,Hice,Republican
Joe,Courtney,Democratic
Joe,Cunningham,Democratic
Joe,Neguse,Democratic
Joe,Wilson,Republican
John,Carter,Republican
John,Curtis,Republican
John,Garamendi,Democratic
John,Joyce,Republican
John,Katko,Republican
John,Larson,Democratic
John,Lewis,Democratic
John,Moolenaar,Republican
John,Ratcliffe,Republican
John,Rose,Republican
John,Rutherford,Republican
John,Sarbanes,Democratic
John,Shimkus,Republican
John,Yarmuth,Democratic
John ,Curtis ,Republican
Jose,Serrano,Democratic
Joseph,Kennedy,Democratic
Joseph,Morelle,Democratic
Josh,Gottheimer,Democratic
Josh,Harder,Democratic
Joyce,Beatty,Democratic
Juan,Vargas,Democratic
Judy,Chu,Democratic
Julia,Brownley,Democratic
Justin,Amash,Independent
K,Conaway,Republican
Kaiali'i,Kahele,Democrat
Karen,Bass,Democratic
Katherine,Cammack,Republican
Katherine,Clark,Democratic
Kathleen,Rice,Democratic
Kathy,Castor,Democratic
Kathy,Manning,Democrat
Katie,Hill,Democratic
Katie,Porter,Democratic
Kay,Granger,Republican
Kelly,Armstrong,Republican
Kenneth,Buck,Republican
Ken,Calvert,Republican
Kendra,Horn,Democratic
Kenny,Marchant,Republican
Kevin,Brady,Republican
Kevin,Hern,Republican
Kevin,McCarthy,Republican
Kevin,Mccarthy,Republican
Kim,Schrier,Democratic
Kurt,Schrader,Democratic
Kweisi,Mfume,Democrat
Lance,Gooden,Republican
Larry,Bucshon,Republican
Lauren,Boebert,Republican
Lauren,Underwood,Democratic
Lee,Zeldin,Republican
Linda,Sanchez,Democratic
Lisa,Blunt Rochester,Democrat
Lisa,McClain,Republican
Lisa,Rochester,Democratic
Liz,Cheney,Republican
Lizzie,Fletcher,Democratic
Lloyd,Doggett,Democratic
Lloyd,Smucker,Republican
Lois,Frankel,Democratic
Lori,Trahan,Democratic
Louie,Gohmert,Republican
Lucille,Allard,Democratic
Lucille,Roybal-Allard,Democrat
Lucy,McBath,Democrat
Lucy,Mcbath,Democratic
Luis,Correa,Democrat
Madeleine,Dean,Democratic
Marc,Veasey,Democratic
Marcia,Fudge,Democratic
Marcy,Kaptur,Democratic
Maria,Salazar,Republican
Mariannette,Miller-Meeks,Republican
Marie,Newman,Democrat
Marilyn,Strickland,Democrat
Mario,Balart,Republican
Mario,Diaz-Balart,Republican
Marjorie,Greene,Republican
Mark,Amodei,Republican
Mark,DeSaulnier,Democrat
Mark,Desaulnier,Democratic
Mark,Green,Republican
Mark,Meadows,Republican
Mark,Pocan,Democratic
Mark,Takano,Democratic
Mark,Walker,Republican
Markwayne,Mullin,Republican
Martha,Roby,Republican
Mary,Miller,Republican
Mary,Scanlon,Democratic
Mary Gay,Scanlon,Democrat
Matt,Cartwright,Democratic
Matt,Gaetz,Republican
Matthew,Cartwright,Democrat
Matthew,Rosendale,Republican
Max,Rose,Democratic
Maxine,Waters,Democratic
Michael,Burgess,Republican
Michael,Cloud,Republican
Michael,Guest,Republican
Michael,McCaul,Republican
Michael,Mccaul,Republican
Michael,Nicolas,Democratic
Michael,Simpson,Republican
Michael,Turner,Republican
Michael,Waltz,Republican
Michelle,Fischbach,Republican
Michelle,Steel,Republican
Mike,Bost,Republican
Mike,Doyle,Democratic
Michael,Gallagher,Republican
Michael,Garcia,Republican
Mike,Johnson,Republican
Mike,Kelly,Republican
Mike,Levin,Democratic
Mike,Quigley,Democratic
Mike,Rogers,Republican
Mike,Simpson,Republican
Mike,Thompson,Democratic
Mikie,Sherrill,Democratic
Mo,Brooks,Republican
Mondaire,Jones,Democrat
Morgan,Griffith,Republican
Nancy,Mace,Republican
Nancy,Pelosi,Democratic
Nanette,Barragan,Democratic
Neal,Dunn,Republican
Nicole,Malliotakis,Republican
Nikema,Williams,Democrat
Nita,Lowey,Democratic
Norma,Torres,Democratic
Nydia,Velazquez,Democratic
Patrick,Fallon,Republican
Patrick,McHenry,Republican
Patrick,Mchenry,Republican
Paul,Cook,Republican
Paul,Gosar,Republican
Paul,Mitchell,Republican
Paul,Tonko,Democratic
Pete,Aguilar,Democratic
Pete,Olson,Republican
Pete,Sessions,Republican
Pete,Stauber,Republican
Peter,DeFazio,Democrat
Peter,Defazio,Democratic
Peter,King,Republican
Peter,Meijer,Republican
Peter,Visclosky,Democratic
Peter,Welch,Democratic
Pramila,Jayapal,Democratic
Raja,Krishnamoorthi,Democratic
Ralph,Abraham,Republican
Ralph,Norman,Republican
Randy,Feenstra,Republican
Randy,Weber,Republican
Rashida,Tlaib,Democratic
Raúl,Grijalva,Democratic
Raul,Ruiz,Democratic
Richard,Hudson,Republican
Richard,Neal,Democratic
Richard,Allen,Republican
Rick,Crawford,Republican
Rick,Larsen,Democratic
Ritchie,Torres,Democrat
Ro,Khanna,Democratic
Rob,Bishop,Republican
Rob,Woodall,Republican
Robert,Aderholt,Republican
Robert,Good,Republican
Robert,Latta,Republican
Robert,Scott,Democratic
Robert,Wittman,Republican
Robin,Kelly,Democratic
Rodney,Davis,Republican
Roger,Marshall,Republican
Roger,Williams,Republican
Ron,Estes,Republican
Ron,Kind,Democratic
Ron,Wright,Republican
Ronald,Wright,Republican
Ronny,Jackson,Republican
Rosa,DeLauro,Democrat
Rosa,Delauro,Democratic
Ross,Spano,Republican
Ruben,Gallego,Democratic
Russ,Fulcher,Republican
Salud,Carbajal,Democratic
Sam,Graves,Republican
Sanford,Bishop,Democratic
Sara,Jacobs,Democrat
Scott,DesJarlais,Republican
